detail_id,order_id,product_id,sku,product_name,unit_price,quantity,subtotal
1,ORD001,P001,VIN001,Sữa Vinamilk,25000,2,50000
2,ORD001,P003,MI001,Mì Hảo Hảo,4000,3,12000
3,ORD002,P002,OI001,Snack Oishi,8000,5,40000
4,ORD002,P004,PEP001,Pepsi lon,12000,2,24000
5,ORD003,P005,G7001,Coffee G7,17000,1,17000
6,ORD003,P006,TRA001,Trà Xanh Không Độ,10000,2,20000
7,ORD004,P003,MI001,Mì Hảo Hảo,4000,10,40000
8,ORD004,P023,CHU001,Kẹo mút Chupa,5000,4,20000
9,ORD005,P024,HON001,Mật ong rừng,150000,1,150000
10,ORD005,P010,YEN001,Yến sào Hộp,120000,1,120000
11,ORD006,P025,APP001,Nước ép Táo,20000,3,60000
12,ORD006,P009,LAW001,Nước suối La Vie,7000,6,42000
13,ORD007,P018,PAI001,Phô mai Con Bò Cười,22000,2,44000
14,ORD007,P007,LOT001,Bánh quy Lotus,15000,1,15000
15,ORD008,P017,SUN001,Nước rửa chén Sunlight,28000,2,56000
16,ORD008,P015,COL001,Kem đánh răng Colgate,30000,1,30000
17,ORD009,P012,FRU001,Chuối Tiến Vua,30000,2,60000
18,ORD009,P020,PN001,Đậu phộng rang,12000,1,12000
19,ORD010,P021,VIS001,Thịt hộp Vissan,45000,1,45000
20,ORD010,P013,SPM001,Bơ Thực Vật,45000,1,45000
21,ORD011,P008,BAK001,Bánh mì Việt,12000,2,24000
22,ORD011,P019,BTN001,Bánh tráng Tây Ninh,6000,3,18000
23,ORD012,P022,NAP001,Nước cam ép,18000,4,72000
24,ORD012,P023,CHU001,Kẹo mút Chupa,5000,10,50000
25,ORD013,P011,AJI001,Bột ngọt Ajinomoto,9000,3,27000
26,ORD013,P017,SUN001,Nước rửa chén Sunlight,28000,1,28000
27,ORD014,P005,G7001,Coffee G7,17000,2,34000
28,ORD014,P006,TRA001,Trà Xanh Không Độ,10000,1,10000
29,ORD015,P003,MI001,Mì Hảo Hảo,4000,5,20000
30,ORD015,P004,PEP001,Pepsi lon,12000,1,12000